RazaoSocial;UF;Total_Despesas;Media_Trimestral;Desvio_Padrao
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;RJ;762343664.45;4258903.153351955;9892921.603801724
GOCARE PLANOS DE SAUDE LTDA;SP;762092252.99;5219809.951986302;10090589.944597766
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;761731639.79;3187161.672761506;8398016.62846927
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;756045082.46;2690551.894875445;7924423.417559657
UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;MG;745989667.6;3947035.2783068786;11808426.063242435
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA;RJ;745740578.28;13810010.708888888;20104046.175133854
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;741603830.46;3671306.091386139;8663965.06236594
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;738836159.93;4320679.297836257;9926983.717783546
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES;ES;734075380.35;7126945.440291262;12566095.371551355
GARANTIA DE SAÚDE LTDA;SP;730925050.42;8401437.361149425;17037519.68548742
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO ;MG;721671740.42;3590406.6687562186;9100002.834609501
UNIMED SAÚDE E ODONTO S.A;SP;719908174.41;14115846.557058822;20524339.009400345
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;RJ;716370826.55;4264112.062797619;9383164.40137737
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .;PR;713159536.55;3301664.5210648146;8190749.314877194
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;SP;708264132.92;2938855.3233195017;7592968.143964639
VIVACOM PLANOS DE SAÚDE;GO;700040170.42;4762178.030068027;10659337.72701147
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;AL;697665829.12;11627763.818666667;16052581.412326029
PARANA ASSISTENCIA MEDICA LTDA;PR;682045959.37;3647304.5955614974;8964713.188184017
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;678297199.52;2540438.9495131085;6784709.830388768
UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA;SP;656803497.78;8420557.663846154;14759189.677725488
TEMPO MED PLANO DE SAUDE LTDA;SC;656119856.78;5166298.08488189;10378811.677935705
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA;SP;656091838.63;6189545.64745283;12464400.516296359
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA;MG;652293598.95;5017643.068846154;11090509.775634691
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO;PR;651668703.62;3226082.691188119;7839933.4025402665
SULMED - ASSISTÊNCIA MÉDICA LTDA;RS;642251057.02;4792918.335970149;12457070.538501255
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO;SP;634867671.51;4176760.996776316;9219264.813764611
FUNDACAO LEONOR DE BARROS CAMARGO;SP;633046276.44;7112879.510561799;13895227.121459486
UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;624660960.72;2946513.9656603774;6794571.394781267
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO;MG;620183666.54;2145964.244083045;6742302.93920978
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;SP;620053338.19;2222413.398530466;5585086.15474745
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;SP;606595782.81;3048220.0141206025;7318974.170249104
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;SE;606513901.97;8196133.810405406;15913933.45367789
MATÃO CLINICAS & AMHMA SAÚDE LTDA;SP;589010834.82;5077679.610517242;10719598.873779502
ASSOCIAÇÃO DE SAÚDE DO VALE;SC;586454831.1;6108904.490625001;11625108.652847739
UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;582151282.46;3000779.8064948455;7638805.863798579
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;SP;580057391.09;5743142.486039604;13568424.308843702
PRONTOMED PLANOS DE SAÚDE LTDA;MG;573413084.1800001;3822753.894533334;8471711.996492572
BEST SENIOR OPERADORA DE SAÚDE LTDA;ES;569770793.62;6401919.029438202;12796748.63328593
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;BA;554673967.45;3578541.725483871;8058066.588583887
AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;SP;554441764.62;7108227.751538462;14651876.452655753
SUL AMÉRICA ODONTOLÓGICO S/A;SP;553834877.15;4693515.908050847;9955002.839757835
UNIMED COSTA VERDE RJ;RJ;552038320.59;3608093.5986274513;7928670.997950995
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;548131273.48;1993204.6308363636;5621170.053005078
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;MG;547491024.15;18249700.805;18168107.24152771
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;MG;542153065.63;2475584.77456621;6538773.190527652
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA;SP;536767627.77;3753619.7746153846;8529871.76912566
UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;535167825.35;5298691.34009901;9456399.161804188
ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;RJ;533439732.09000003;3730347.776853147;9081530.396468926
PLADISA PLANOS DE SAÚDE SA;SC;529262414.83;4268245.280887096;9930745.777452238
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;MG;527898242.4;2078339.5370078739;5346168.45066608
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO;MG;525177915.92;2152368.5078688525;5950894.78786597
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.;RS;525159472.44;2721033.535958549;5952216.365602119
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;MG;523048208.25;3992734.4141221372;10108749.205954757
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO;SP;519365810.17;1945190.3002621722;5680409.328855033
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;SC;517133758.0;1944111.8721804512;5404422.420864176
AMHA SAUDE S/A;SP;516975473.51;6154469.922738095;13241072.413721578
UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;515316500.09;2147152.0837083333;6263137.304889959
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;SC;514562492.79;1536007.4411641792;4258478.996734292
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;SP;510223843.49;5932835.389418605;12251672.259241637
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;RJ;510200117.84;4768225.400373831;9262827.290525597
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM;RS;505642467.88;4909150.173592233;10199033.371175319
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO;PE;504568930.22;5799642.876091954;12702742.487441447
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;TO;502198558.58;1233903.0923341522;3913747.7017047876
SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.;SP;490148542.8;5766453.444705882;7656489.634173997
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO;SP;485759452.21;1990817.4270901638;5447708.7709721
AMAZÔNIA PLANOS DE SAÚDE LTDA;PA;485740633.83;5223017.568064516;10990280.174732419
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;480624727.23;3080927.738653846;6454375.569686429
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO;SP;475435050.2;2463394.0424870467;5588657.645542619
ASSOCIAÇÃO SAÚDE SÃO JOSÉ;SC;473052458.06;3071769.208181818;7344392.1052150205
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO;SP;471841271.57;2407353.426377551;5936069.293990614
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;AM;470272021.81;11470049.312439024;26001788.46861414
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO;MT;465302415.93;2448960.083842105;6076966.807790458
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;SP;464622026.93;2288778.457783251;5448055.593877151
ÚNICA ASSISTENCIA MEDICA LTDA ;SP;464475619.58;9107365.089803921;14486256.670212824
ASSOCIAÇÃO SÃO LUIZ SAÚDE;SP;462754427.94;6427144.8325;12606517.566252334
UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO;SP;460575350.87;3437129.484104478;7666531.219327428
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;MG;460273458.21;1770282.531576923;4703156.200965662
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;SP;458054112.14;4164128.2921818183;8634314.933723662
DENTAL UNI - COOPERATIVA ODONTOLÓGICA;PR;445649558.65;8738226.640196078;11835659.774555778
ANAFE SAUDE;GO;444723721.7;4447237.217;9493249.782367172
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;RJ;438286071.59999996;27392879.474999998;31307801.130560968
UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.;DF;435506272.01;4733763.826195652;9003110.974021751
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO;RJ;433694408.1;4517650.084375001;7490555.303415992
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO;SP;422137391.0;1592971.286792453;4867958.809700454
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;MG;415696830.14;3407351.0667213113;7842443.227741544
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA;SP;407030292.4;5152282.18227848;10279283.758284094
UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;404734004.2;2628142.884415584;4907171.158155596
UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;392556822.87;1432689.1345620437;3942640.910072625
UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO;SP;384605280.67;1788861.7705581395;4941934.029944191
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA;MS;379328420.85;3059100.1681451616;6454965.476641303
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;SP;379080782.52;3948758.1512499996;7068274.948457552
UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;MG;372313716.94;1715731.414470046;4643297.324490282
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;SP;372113620.01;3207876.0345689654;7071100.98078374
CONFERÊNCIA SÃO JOSÉ DO AVAÍ;RJ;370810383.33;3822787.457010309;6952609.813446495
UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO ;GO;369296474.26;1923419.1367708333;4830616.296288784
UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO;MG;368045561.03000003;1711839.818744186;4491568.930212861
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;PE;360427072.96;3080573.273162393;6608668.953041637
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;357113931.35;1840793.4605670103;4238775.249056881
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PR;353640282.18;3929336.4686666667;6783733.71873582
UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;349178916.46999997;2312443.155430463;4578722.023428164
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;MG;346089776.95;1721839.686318408;4072835.27499186
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO;PR;345578208.93;1592526.3084331797;3854750.942805482
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;MG;328259942.39;2525076.479923077;5276567.7460432565
UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;RS;324332171.71999997;1874752.437687861;4122228.1485581803
UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO;SP;319522156.17;5605651.862631579;7979771.58152086
UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO;MG;316152828.69;1796322.890284091;4151690.324313136
UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI ;PR;315983517.84000003;1880854.272857143;4554734.484377952
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;MG;309858388.87;2383526.068230769;5343791.383072147
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR;MG;308851967.07;12868831.96125;21650814.98224171
PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;MG;308316267.57;2111755.257328767;4068634.5209592036
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.;SP;304472497.4;7249345.176190476;9420742.79680835
UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;299723721.33;1350106.8528378378;3647115.3384132865
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;RS;292409993.2;4430454.442424242;7299018.899820672
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO;SP;288857608.27;2602320.795225225;4860787.896785912
ASSOCIAÇÃO FCA SAÚDE;MG;287504747.73;6534198.812045455;16290639.827447927
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;BA;285588432.83;4262513.92283582;5296040.34790564
UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;MG;283274651.38;1686158.6391666667;3208225.387490328
UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;283221212.28;1966813.9741666664;4465912.162269322
PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A;SP;279773581.87;7771488.385277778;8650950.953245107
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;MG;277783183.73;1758121.4160126583;3874520.40722416
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;SP;274891620.99;3479640.7720253165;6603061.988218046
UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO;SP;271597752.28;1073508.90229249;2923104.759389127
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS);SP;270985781.68;2913825.6094623655;5925523.950647756
PLAMER PLANO MEDICO RESENDE LTDA;RJ;266088445.58;2861166.0815053764;5564444.481504445
SOCIEDADE BENEFICENTE DEZOITO DE JULHO;MG;262106242.46;3798641.1950724637;6475651.481905158
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;BA;258898107.38;2397204.697962963;5231659.262261538
IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;SP;252624474.9;4281770.761016949;6545053.494115596
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;SE;246118487.19;3196343.9894805197;5782008.327361152
UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO;SP;242481085.49;4041351.4248333336;6293357.08286448
UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;SP;240801754.27;1672234.4046527778;3911106.989646955
UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO;MG;239448201.32999998;1073758.7503587443;2983339.0209053517
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;SE;238606914.47;5681117.011190476;7603873.812114485
UNIX SAÚDE S.A;BA;235943960.95;2051686.6169565215;3559829.750764683
UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;PI;233747731.32999998;2032588.9680869563;3936321.8184920074
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;RJ;231204061.85;5137868.041111111;6378103.703241044
UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA;PA;230524858.99;4268978.870185185;6254507.364500151
TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE;ES;230259639.87;3243093.519295775;6065810.116549853
UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;229812292.39000002;1445360.3294968554;3461147.6480219583
ATÍVIA SERVIÇOS DE SAÚDE S/A;SP;226820302.21;3335592.679558824;4518487.409408956
PB ASSISTENCIA MEDICA EU LTDA;BA;222883816.25;2751652.0524691357;4343460.903428175
ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI;SP;221320189.78;2169805.782156863;4226563.717362212
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);SP;217970373.72;2594885.4014285714;5364717.7660845155
UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;212618090.21;1296451.7695731707;3195999.692803114
PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;SP;206651127.13;3690198.69875;5635927.267419595
MAIS SAUDE S/A;ES;204333522.89;4086670.4577999995;6224636.878582986
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;RJ;204185161.23;2759258.9355405406;4145394.779458136
SANTA CASA DE MISERICORDIA HOSPITAL SÃO VICENTE;SP;200503208.93;1891539.7068867926;4448611.504995482
AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;RO;192745775.44;3212429.5906666666;5011734.6604816085
UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;189724399.76;894926.4139622641;1884555.8834527724
SOCIEDADE PORTUGUESA DE BENEFICÊNCIA;RS;185520217.56;1394888.8538345865;3112964.358053595
UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;GO;182955736.43;575332.5044968553;1462794.0071162528
UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA;CE;181608551.06;3243009.840357143;4985148.936807263
SANTA CASA DE MISERICÓRDIA E BENEFICÊNCIA PORTUGUESA;SP;177810972.99;2195197.1974074077;4086734.032019122
SANTA CASA DE SAÚDE - SCS;ES;169038334.1;2061443.0987804877;3618547.644687267
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL;MG;166816077.63;1390133.98025;3370450.4948418536
UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO;BA;164675408.28;1892820.7848275863;2471213.4525241675
UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA;RS;164101645.34;3038919.3581481483;4498943.626732087
HOSPITAL DE PRONTOCLINICA LTDA.;RS;161347125.04;1646399.2351020407;3082814.5747209922
UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA;MG;157529978.68;2283043.1692753625;4014373.9995246786
UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA;SP;157316395.93;2537361.2246774193;4278723.563214594
UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;154942624.54999998;1239540.9963999998;2512037.2076099804
ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA;BA;154678182.61;2178565.9522535214;3674692.6555364616
UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA;AL;153477796.02;5684362.815555556;5793089.604818246
AURORA SAÚDE LTDA;MG;153136751.09;1914209.3886250001;3187401.4055858827
UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO;MG;153093603.23;981369.251474359;2087780.4625162221
UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;152157468.05;1300491.17991453;2362222.3327107076
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;RS;147978383.76;2208632.593432836;3970899.2811196996
VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.;SP;142079800.07;1246314.0357017543;2818094.637871627
ASSOCIAÇAO UNISAUDE MARAU;RS;139486473.25;1499854.5510752688;2717626.2946102554
SUL DO PARÁ LTDA;PA;136406824.75;2393102.1885964912;2800621.742240378
RIO DOCE SAÚDE;ES;135702586.96;1304832.566923077;2817644.222276883
ON MED ASSISTÊNCIA MÉDICA LTDA;RS;132776860.71;1412519.794787234;2831020.7896152353
TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;MG;121674120.49;2295738.12245283;2903119.2831467637
UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;PI;116594384.98;2429049.6870833333;3492751.007699889
R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA;SP;116122486.11;3055854.897631579;4588378.277103439
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.;SP;115487531.26;3499622.1593939397;3297867.702398134
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;MG;112853362.45;868102.7880769231;2020534.1130380584
UNIODONTO DE JOÃO PESSOA COOPERATIVA ODONTOLÓGICA;PB;111411265.16000001;2652649.1704761907;3543562.053983881
UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO;PB;106894441.75;1068944.4175;1844265.2940794635
HOSPITAL CESAR LEITE;MG;103614685.91;1138622.922087912;1912344.3216475896
UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;SP;102882014.41;1804947.62122807;2524100.723968384
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE;SC;100985052.27;1422324.6798591549;2593512.116497134
OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA;RJ;100925105.49;870044.0128448275;1717411.4452572393
ASSOCIAÇÃO DO FISCO DE ALAGOAS;AL;100765622.34;1937800.4296153847;5042494.127824051
ASSOCIACAO DE SAUDE HOLAMBRA;SP;99473224.19;2368410.0997619047;3410116.3816440557
UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO;MG;98100789.77;469381.7692344497;1026620.2169034379
ASSOCIAÇÃO BENEFICENTE CATÓLICA;MG;97968791.03;851902.5306956522;1489192.8889899086
UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO;SP;94660625.45;2014055.8606382979;2322878.1813433305
SISTEMA TOTAL DE SAÚDE LTDA.;SP;91634582.05;1104031.1090361446;2005863.5592762888
UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;AM;91128166.01;1446478.8255555558;2292528.734559721
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;SP;88859934.91;1217259.382328767;2328584.6827808325
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;MG;87883651.21000001;861604.4236274511;1632556.3143309362
MEDGOLD ASSISTENCIA MEDICA LTDA - ME;MG;87489274.47;795357.0406363637;1286557.8238227672
PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;SP;84378878.19;907299.765483871;1783831.0178302028
PRONTO SOCORRO CONDE DE MOREIRA LIMA;SP;83636542.27;610485.71;1260324.9415796313
PLAMESC PLANOS DE SAÚDE LTDA;RJ;81342000.01;968357.1429761905;1720515.6357615252
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;SP;78429179.74000001;676113.618448276;1471847.7357220598
UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA;SP;78340886.51;1305681.4418333333;1841963.7753065876
VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA;SP;76686873.84;1111403.9686956522;1920513.4379213948
SANTA CASA DE MISERICÓRDIA DE TUPÃ;SP;74640525.49;1051275.0069014083;1787784.071139015
UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO;SP;72929379.7;602722.1462809917;981954.7936566425
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA;PB;72503669.01;1294708.3751785716;1890053.9784747385
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PR;71758200.47;1435164.0093999999;2245544.7032303084
ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO;SP;71447855.98;686998.6151923077;1470367.9171681942
DONA SAÚDE CLINICAS LTDA ;SP;65673368.11;1010359.5093846153;1439833.9129697161
UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA LTDA;MG;65128624.11;1163011.1448214285;1788079.8400436118
S1 OPERADORA DE PLANO DE SAÚDE LTDA;DF;63480919.02;1058015.317;1741856.5145205157
TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;RJ;61467003.38;2561125.1408333336;2474382.4681151784
PLENUM ASSISTENCIA MEDICA  LTDA;DF;61218573.29;2186377.6175;2333258.4789044335
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;MS;59437418.25;928709.66015625;1452012.2191509355
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU;PR;57617329.65;811511.6852112676;1422296.2170745013
UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;SP;57216492.42;1362297.4385714286;1767603.219218536
PERSONAL CARE OPERADORA DE SAÚDE SA;SP;56340041.44;1173750.8633333333;1664323.3299181557
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS;SP;55843251.31;1163401.0689583335;1704669.048469689
CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.;RJ;54216826.86;1390175.0476923077;1703292.3716341169
